name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
La Java,0.563,0.184,-13.757,0.0512,0.993,1.55e-05,0.325,0.654,133.088,vintage chanson
En Douce,0.427,0.18,-15.375,0.067,0.989,0.0,0.128,0.431,78.459,vintage chanson
J'en Ai Marre,0.511,0.206,-15.514,0.0592,0.995,0.0,0.418,0.481,70.443,vintage chanson
Ils n'ont pas ca,0.676,0.467,-12.393,0.165,0.991,0.0,0.219,0.726,129.775,vintage chanson
La belote,0.65,0.298,-13.806,0.138,0.991,0.0,0.373,0.844,75.95,vintage chanson
Oh mademoiselle,0.671,0.454,-14.39,0.279,0.988,0.0,0.318,0.852,121.611,vintage chanson
Il m'a vue nue,0.515,0.249,-9.382,0.0408,0.994,1.13e-05,0.314,0.592,72.791,vintage chanson
Mon Bus'ness,0.415,0.33,-14.533,0.128,0.978,0.0,0.32,0.719,72.96,vintage chanson
Ça c'est Paris,0.582,0.371,-9.032,0.0337,0.994,0.000647,0.0937,0.76,128.547,vintage chanson
Le Fado,0.537,0.383,-12.114,0.0567,0.992,4.08e-06,0.144,0.639,136.825,vintage chanson
Valencia,0.404,0.467,-12.8,0.0752,0.989,0.000134,0.201,0.72,68.586,vintage chanson
J'suis Nature,0.661,0.218,-13.066,0.0668,0.886,0.0,0.135,0.834,125.892,vintage chanson
Il M'a Vue Nue,0.474,0.142,-15.143,0.0408,0.95,0.0,0.223,0.722,74.006,vintage chanson
Ça C'est Paris,0.649,0.292,-10.492,0.0353,0.952,1.2e-05,0.0731,0.847,128.0,vintage chanson
Parisette,0.645,0.37,-12.21,0.0644,0.942,1.83e-06,0.0913,0.893,132.871,vintage chanson
On M'suit,0.76,0.366,-10.173,0.065,0.939,0.0,0.407,0.846,129.074,vintage chanson
La Java De Doudoune,0.598,0.277,-10.338,0.0495,0.91,0.0,0.266,0.744,75.772,vintage chanson
Tout Ça C'est Pour Vous,0.521,0.188,-12.262,0.0459,0.897,0.0,0.102,0.705,110.853,vintage chanson
Gosse De Paris,0.707,0.316,-12.235,0.221,0.98,0.0,0.0851,0.804,111.138,vintage chanson
C'est Tout C'que J'ai,0.637,0.184,-12.268,0.053,0.969,0.0,0.321,0.633,92.062,vintage chanson
Rita,0.646,0.376,-13.469,0.106,0.929,0.0,0.165,0.874,78.611,vintage chanson
J'ai Des Touches,0.717,0.231,-15.574,0.267,0.914,0.0,0.064,0.786,119.306,vintage chanson
C'est Vrai,0.711,0.193,-14.279,0.0923,0.954,0.0,0.148,0.833,126.836,vintage chanson
Mon homme,0.455,0.173,-19.015,0.0772,0.935,0.0,0.6,0.542,95.784,vintage chanson
Elle Prend L'boulevard Magenta,0.709,0.289,-14.978,0.18,0.967,0.0,0.119,0.84,107.515,vintage chanson
Elle Vendait Des P'tits Gateaux,0.716,0.301,-14.07,0.105,0.987,0.0,0.277,0.969,129.153,vintage chanson
La Valse Du Faubourg,0.623,0.292,-11.501,0.0558,0.978,0.0,0.341,0.934,61.28,vintage chanson
Tout Doucement À Pas De Loup,0.683,0.241,-14.603,0.375,0.957,0.00423,0.214,0.727,142.683,vintage chanson
Mam'zell Accept'rez Vous,0.673,0.252,-16.271,0.124,0.888,0.0442,0.069,0.766,94.972,vintage chanson
Nuits De Chine,0.42,0.288,-14.005,0.0701,0.994,0.000216,0.196,0.4,139.575,vintage chanson
Les ménétriers,0.522,0.303,-13.906,0.0793,0.995,2.46e-06,0.135,0.647,79.817,vintage chanson
C'est La Mode Et Voila Tout,0.592,0.408,-11.585,0.271,0.993,1.54e-06,0.413,0.766,81.126,vintage chanson
La Ronde De Nuit,0.55,0.31,-15.423,0.168,0.992,0.0,0.204,0.568,125.829,vintage chanson
Quand On Aime On A Toujours Vingt Ans,0.374,0.383,-15.804,0.188,0.987,0.0,0.241,0.524,169.836,vintage chanson
Je N'suis Pas Celle Que Vous Croyez,0.65,0.52,-12.068,0.0817,0.953,0.0,0.0629,0.888,131.367,vintage chanson
Sous Le Soleil Marocain,0.496,0.383,-11.25,0.0672,0.99,0.0,0.184,0.578,97.72,vintage chanson
La Chanson Française,0.569,0.312,-10.911,0.0919,0.993,7.26e-06,0.156,0.792,135.851,vintage chanson
Dites Moi Doumergue,0.71,0.561,-12.736,0.472,0.955,0.0,0.213,0.963,78.705,vintage chanson
La Noce À Rebecca,0.769,0.442,-12.697,0.273,0.989,1.27e-06,0.167,0.934,132.125,vintage chanson
Le Tango Neurasthénique,0.564,0.433,-14.619,0.356,0.979,3.74e-06,0.226,0.601,72.003,vintage chanson
Méfiez Vous D'anatole,0.625,0.35,-15.916,0.312,0.984,0.0,0.0988,0.808,81.567,vintage chanson
Sur La Pointe Des Pieds,0.528,0.343,-14.963,0.315,0.995,0.0,0.385,0.634,83.2,vintage chanson
Ma Gosse,0.635,0.285,-16.475,0.217,0.98,0.0,0.446,0.759,123.849,vintage chanson
Il N'osait Pas Se Decider,0.613,0.457,-15.501,0.51,0.976,0.0,0.192,0.706,76.682,vintage chanson
Passons la monnaie,0.553,0.374,-11.64,0.329,0.991,0.0,0.159,0.513,85.914,vintage chanson
Par politesse,0.527,0.329,-15.134,0.302,0.993,0.0,0.116,0.753,79.839,vintage chanson
La plus bath des javas,0.651,0.454,-12.764,0.169,0.993,0.0,0.278,0.826,80.1,vintage chanson
Hortensia Ou La Fille Du Jazz Band,0.541,0.378,-15.167,0.0777,0.992,0.000102,0.131,0.733,140.419,vintage chanson
L'homme Du Milieu,0.726,0.363,-15.093,0.0892,0.987,0.0,0.12,0.798,88.384,vintage chanson
Les Absents Ont Toujours Tort,0.672,0.38,-14.833,0.212,0.994,0.0,0.426,0.911,120.162,vintage chanson
L'amour Excuse Tout,0.655,0.433,-15.925,0.409,0.989,0.0,0.335,0.768,92.762,vintage chanson
Jacky Apprend Le Charleston,0.616,0.345,-13.57,0.225,0.995,0.0,0.0835,0.676,118.375,vintage chanson
Y S'retourne Sur Toutes Les Femmes,0.648,0.399,-11.759,0.315,0.995,0.0,0.145,0.879,129.826,vintage chanson
Veux Tu Que J'te Fasse Un Dessin,0.625,0.295,-15.43,0.245,0.834,0.818,0.0971,0.52,127.33,vintage chanson
Qu'est Ce Qu'il Faut Faire Pour Gagner Son Beefsteak,0.683,0.396,-14.554,0.392,0.828,0.00343,0.103,0.769,64.177,vintage chanson
Le Genre De La Maison,0.7,0.518,-11.155,0.363,0.948,0.0,0.296,0.9,83.328,vintage chanson
Il Ne Faut Pas Qu'une Femme Entende Des Choses Comme Ça,0.656,0.29,-13.385,0.145,0.908,0.0,0.466,0.8,127.505,vintage chanson
Les Moins De Cent Ans,0.636,0.365,-13.011,0.321,0.832,0.0,0.138,0.799,143.499,vintage chanson
Le Piéton,0.679,0.442,-12.63,0.466,0.903,0.0,0.128,0.764,112.733,vintage chanson
On L'appelait Fleur Des Fortifs,0.644,0.297,-11.957,0.429,0.694,0.0,0.0783,0.764,98.965,vintage chanson
Oh Oh Il Travaille Du Chapeau,0.706,0.392,-14.077,0.739,0.837,0.0,0.126,0.796,75.143,vintage chanson
